unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1608926400,2020-12-25 20:00:00,LINK/USD,11.54536,11.56062,11.46581,11.53410,11.52307,18286.28000534,210915.7822095921,180
1608922800,2020-12-25 19:00:00,LINK/USD,11.40366,11.56971,11.37806,11.55438,11.46469,6946.84344925,80266.46901314522,110
1608919200,2020-12-25 18:00:00,LINK/USD,11.38558,11.48523,11.33467,11.43794,11.40960,5381.04489013,61548.068590613526,113
1608915600,2020-12-25 17:00:00,LINK/USD,11.42949,11.55490,11.20478,11.46222,11.36709,22901.94574968,262507.1406108971,337
1608912000,2020-12-25 16:00:00,LINK/USD,11.45000,11.89593,11.37459,11.45337,11.67495,16777.72220972,192161.46022514073,495
1608908400,2020-12-25 15:00:00,LINK/USD,11.46789,11.52878,11.35059,11.42383,11.46376,8120.04589986,92762.02395219766,115
1608904800,2020-12-25 14:00:00,LINK/USD,11.64694,11.66128,11.33003,11.45000,11.52291,14611.44887601,167301.08963031447,248
1608901200,2020-12-25 13:00:00,LINK/USD,11.64475,11.68154,11.57000,11.64679,11.62056,13085.85050186,152408.15276655802,206
1608897600,2020-12-25 12:00:00,LINK/USD,11.77648,11.85040,11.63021,11.63787,11.75660,11998.50382191,139637.02767389175,199
1608894000,2020-12-25 11:00:00,LINK/USD,11.50972,11.83527,11.46993,11.76974,11.66501,13555.09281881,159539.91815326083,339
1608890400,2020-12-25 10:00:00,LINK/USD,11.45664,11.64014,11.43643,11.53709,11.50775,11146.84602222,128602.16577449412,201
1608886800,2020-12-25 09:00:00,LINK/USD,11.33683,11.51143,11.28505,11.43979,11.41958,3932.18686484,44983.391974527985,124
1608883200,2020-12-25 08:00:00,LINK/USD,11.24400,11.45727,11.24400,11.34154,11.32618,18148.24771543,205829.07739445797,190
1608879600,2020-12-25 07:00:00,LINK/USD,11.22675,11.22947,11.15170,11.21834,11.17168,22332.03570798,250528.36946426035,83
1608876000,2020-12-25 06:00:00,LINK/USD,11.17758,11.33083,11.07391,11.26635,11.19464,23265.28417734,262114.8343913745,174
