unix,date,symbol,open,high,low,close,vwap,Volume XMR,Volume USD,tradecount
1598227200,2020-08-24 00:00:00,XMR/USD,90.50,94.59,90.15,93.84,93.11,3171.93910543,297654.7656535512,696
1598140800,2020-08-23 00:00:00,XMR/USD,94.70,94.77,90.63,91.17,91.92,2464.65316612,224702.4291551604,587
1598054400,2020-08-22 00:00:00,XMR/USD,92.10,94.89,88.89,94.45,92.23,7349.63892411,694173.3963821895,1217
1597968000,2020-08-21 00:00:00,XMR/USD,101.67,105.85,92.16,92.24,99.56,15920.08199543,1468468.363258463,2385
1597881600,2020-08-20 00:00:00,XMR/USD,91.68,101.59,91.57,101.57,97.14,11882.52651059,1206908.2176806263,2006
1597795200,2020-08-19 00:00:00,XMR/USD,93.51,94.59,88.98,91.22,91.20,6817.74110357,621914.3434676554,1227
1597708800,2020-08-18 00:00:00,XMR/USD,93.85,97.17,92.00,93.59,93.46,11549.50991755,1080918.6331835045,1829
1597622400,2020-08-17 00:00:00,XMR/USD,91.37,95.00,89.57,93.55,93.00,6333.19270802,592470.177835271,1027
1597536000,2020-08-16 00:00:00,XMR/USD,89.91,91.48,88.23,91.34,90.17,1341.55000492,122537.17744939281,485
1597449600,2020-08-15 00:00:00,XMR/USD,91.64,91.82,89.81,89.88,90.41,2837.81445029,255062.7627920652,709
1597363200,2020-08-14 00:00:00,XMR/USD,92.36,93.12,89.77,91.59,91.26,6094.14654880,558162.882404592,1048
1597276800,2020-08-13 00:00:00,XMR/USD,89.52,92.39,85.58,92.20,89.64,2395.70297670,220883.81445174,637
1597190400,2020-08-12 00:00:00,XMR/USD,87.09,89.87,84.02,89.57,87.85,2465.76492759,220858.56456423627,600
1597104000,2020-08-11 00:00:00,XMR/USD,93.79,94.84,84.43,87.42,90.53,7161.82242285,626086.516205547,1195
1597017600,2020-08-10 00:00:00,XMR/USD,92.91,94.80,90.00,93.72,93.01,4019.31166418,376689.8891669496,889
1596931200,2020-08-09 00:00:00,XMR/USD,94.97,94.97,92.50,92.95,93.49,2223.48253522,206672.701648699,532
1596844800,2020-08-08 00:00:00,XMR/USD,93.93,95.23,91.98,94.93,93.82,3014.73309093,286188.6123219849,574
1596758400,2020-08-07 00:00:00,XMR/USD,95.08,95.32,90.84,94.03,93.32,10887.60357875,1023761.3645098625,1553
