unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1603756800,2020-10-27 00:00:00,LINK/USD,11.71960,12.47739,11.51085,11.95018,12.03986,852599.85514428,10188721.736948071,5181
1603670400,2020-10-26 00:00:00,LINK/USD,12.12125,12.46889,11.28947,11.75929,11.79561,1057434.66405657,12434680.870693784,6434
1603584000,2020-10-25 00:00:00,LINK/USD,12.70480,12.88076,11.95000,12.15995,12.41662,529204.03432773,6435094.59722348,3975
1603497600,2020-10-24 00:00:00,LINK/USD,12.16733,12.89173,12.00477,12.70151,12.52492,469526.82671726,5963699.684817545,3913
1603411200,2020-10-23 00:00:00,LINK/USD,11.96742,12.28000,11.53581,12.16298,11.96593,804860.36080185,9789500.471225685,6281
1603324800,2020-10-22 00:00:00,LINK/USD,12.30657,12.30995,11.78136,11.96182,12.04953,208742.55415442,2496940.8591354243,1267
1603238400,2020-10-21 00:00:00,LINK/USD,9.84659,11.28999,9.80242,10.82646,10.67188,882611.51594695,9555558.272939017,5877
1603152000,2020-10-20 00:00:00,LINK/USD,10.90578,10.93813,9.80000,9.86938,10.31352,701924.75414234,6927562.130037327,4709
1603065600,2020-10-19 00:00:00,LINK/USD,10.94782,11.22223,10.65279,10.91470,10.91864,454546.36999217,4961237.264553538,3050
1602979200,2020-10-18 00:00:00,LINK/USD,10.64092,10.98709,10.61245,10.94783,10.83903,188304.19049317,2061522.2658068412,1333
1602892800,2020-10-17 00:00:00,LINK/USD,10.58615,10.69996,10.42196,10.61862,10.55746,229849.22205334,2440681.546280037,1828
1602806400,2020-10-16 00:00:00,LINK/USD,10.75244,10.91157,10.21613,10.58369,10.56707,547762.22890009,5797345.624387594,3494
1602720000,2020-10-15 00:00:00,LINK/USD,10.90221,10.91424,10.46202,10.77109,10.72678,558744.96724197,6018292.32921031,3494
1602633600,2020-10-14 00:00:00,LINK/USD,11.01000,11.36100,10.61205,10.91000,11.01444,719109.69162038,7845486.735578346,4233
1602547200,2020-10-13 00:00:00,LINK/USD,11.45001,11.59499,10.60671,11.00999,11.16132,767289.79772009,8447853.000000214,5129
1602460800,2020-10-12 00:00:00,LINK/USD,10.86660,11.82315,10.69681,11.43220,11.30703,969719.90501914,11086031.898159811,6698
1602374400,2020-10-11 00:00:00,LINK/USD,10.52472,11.04371,10.17000,10.87563,10.60699,500623.16941488,5444592.359983551,3664
1602288000,2020-10-10 00:00:00,LINK/USD,10.41539,10.95993,10.35072,10.52113,10.63699,563253.89107353,5926067.410990448,3940
