unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume USD,tradecount
1608796800,2020-12-24 08:00:00,ETH/USD,580.26,584.95,578.56,584.69,581.81,1944.62482147,1137002.6868652944,544
1608793200,2020-12-24 07:00:00,ETH/USD,573.84,582.09,570.73,580.50,576.45,980.57051150,569221.18192575,404
1608789600,2020-12-24 06:00:00,ETH/USD,580.53,583.22,571.68,574.10,576.13,2141.83809623,1229629.251045643,495
1608786000,2020-12-24 05:00:00,ETH/USD,578.78,582.92,575.62,580.26,579.12,1302.05350289,755529.5655869513,321
1608782400,2020-12-24 04:00:00,ETH/USD,575.00,580.04,571.27,578.96,577.32,2859.10123575,1655305.2514498201,565
1608778800,2020-12-24 03:00:00,ETH/USD,573.63,577.91,571.69,574.89,574.56,2522.06170878,1449908.0557605342,554
1608775200,2020-12-24 02:00:00,ETH/USD,586.60,587.12,573.42,574.42,578.54,2364.72182088,1358343.5083498894,664
1608771600,2020-12-24 01:00:00,ETH/USD,576.16,586.98,573.53,586.57,580.72,4132.71105896,2424124.3258541673,933
1608768000,2020-12-24 00:00:00,ETH/USD,585.03,585.17,565.90,575.75,573.82,8982.03379616,5171405.95813912,2337
1608764400,2020-12-23 23:00:00,ETH/USD,584.18,593.46,580.88,585.50,587.54,6026.41213331,3528464.3040530053,1780
1608760800,2020-12-23 22:00:00,ETH/USD,597.77,597.77,550.00,584.18,576.35,25553.11673896,14927619.736565653,5929
1608757200,2020-12-23 21:00:00,ETH/USD,605.99,606.14,595.59,597.37,599.98,4084.88636394,2440188.567226838,1155
1608753600,2020-12-23 20:00:00,ETH/USD,610.73,612.44,604.02,606.27,608.57,1824.24429067,1105984.5861045008,588
