unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1600560000,2020-09-20 00:00:00,DOT/USD,4.9299,4.9754,4.4097,4.6816,4.6612,509057.77313550,2383204.870711157,3586
1600473600,2020-09-19 00:00:00,DOT/USD,5.2535,5.2535,4.8100,4.9299,5.0289,462132.53892515,2278267.203647097,2953
1600387200,2020-09-18 00:00:00,DOT/USD,5.3410,5.4500,5.1000,5.2527,5.2162,503204.32070228,2643181.335352866,3151
1600300800,2020-09-17 00:00:00,DOT/USD,5.0567,5.4200,5.0498,5.3442,5.2458,662623.64788301,3541193.2990163816,3282
1600214400,2020-09-16 00:00:00,DOT/USD,5.0550,5.2769,4.9660,5.0708,5.0831,434378.76542495,2202647.8437168365,2625
1600128000,2020-09-15 00:00:00,DOT/USD,5.3799,5.4474,5.0550,5.0582,5.2558,792777.88293762,4010029.08747507,3680
1600041600,2020-09-14 00:00:00,DOT/USD,5.2751,5.6204,5.0867,5.3657,5.3882,940194.51085828,5044801.686912273,4590
1599955200,2020-09-13 00:00:00,DOT/USD,5.1379,5.4740,4.7869,5.3150,5.1570,786741.64905929,4181531.8647501264,4744
1599868800,2020-09-12 00:00:00,DOT/USD,4.6481,5.3009,4.5063,5.1568,4.9296,622527.73851475,3210251.0419728626,4017
1599782400,2020-09-11 00:00:00,DOT/USD,4.5832,4.7364,4.3220,4.6555,4.5045,567802.29778828,2643403.5973533373,3381
1599696000,2020-09-10 00:00:00,DOT/USD,4.7058,4.8946,4.4436,4.5832,4.6557,799202.88821724,3662906.677277254,5012
1599609600,2020-09-09 00:00:00,DOT/USD,4.2700,4.7900,4.1348,4.6963,4.5311,787234.78933070,3697090.7411337662,4337
1599523200,2020-09-08 00:00:00,DOT/USD,4.6000,4.6233,4.1103,4.2710,4.3185,731170.45511918,3122829.0138140176,3063
1599436800,2020-09-07 00:00:00,DOT/USD,4.7636,4.8265,4.0137,4.5854,4.4281,1129037.40087579,5177088.097975847,5837
1599350400,2020-09-06 00:00:00,DOT/USD,4.1513,4.9128,3.7394,4.7800,4.4312,1380272.93291929,6597704.619354206,6565
1599264000,2020-09-05 00:00:00,DOT/USD,5.1183,5.3037,3.5700,4.1309,4.3580,3045676.80747946,12581386.324016899,16358
1599177600,2020-09-04 00:00:00,DOT/USD,5.7001,6.0008,4.5285,5.1236,5.2365,1660662.22592390,8508568.980743693,9900
1599091200,2020-09-03 00:00:00,DOT/USD,6.1440,6.4000,5.6000,5.7243,6.0234,1228432.17047585,7031914.273454909,9109
1599004800,2020-09-02 00:00:00,DOT/USD,6.2574,6.4490,5.6000,6.1273,6.0113,988650.33956675,6057757.225627347,7159
