unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1599523200,2020-09-08 00:00:00,ADA/USD,0.093696,0.096814,0.088470,0.091067,0.091667,11041344.26978679,1005502.0986166735,1788
1599436800,2020-09-07 00:00:00,ADA/USD,0.092620,0.094231,0.085920,0.093480,0.089921,22816262.01651371,2132864.1733037014,2321
1599350400,2020-09-06 00:00:00,ADA/USD,0.089106,0.095630,0.085687,0.092620,0.092059,12016930.95642610,1113008.1451841854,1696
1599264000,2020-09-05 00:00:00,ADA/USD,0.101908,0.104048,0.085630,0.089920,0.091761,26712922.62981648,2402026.002873098,3952
1599177600,2020-09-04 00:00:00,ADA/USD,0.095000,0.104175,0.092464,0.101794,0.098431,26925058.77173031,2740809.4326095153,4119
1599091200,2020-09-03 00:00:00,ADA/USD,0.115000,0.116688,0.093100,0.095056,0.103563,27859717.54143868,2648233.310618995,3858
1599004800,2020-09-02 00:00:00,ADA/USD,0.124707,0.126453,0.110890,0.115147,0.115740,19367240.82993086,2230079.679844049,3079
1598918400,2020-09-01 00:00:00,ADA/USD,0.122922,0.128316,0.119300,0.124504,0.124190,12036558.16270958,1498599.6374899936,2381
1598832000,2020-08-31 00:00:00,ADA/USD,0.117770,0.126999,0.113244,0.122566,0.121366,11211011.03529601,1374088.7785520907,2607
1598745600,2020-08-30 00:00:00,ADA/USD,0.116349,0.118881,0.113815,0.117619,0.116699,5023569.69371172,590867.2438046789,1213
1598659200,2020-08-29 00:00:00,ADA/USD,0.109526,0.118188,0.108301,0.116440,0.113049,8728594.09356190,1016357.4962543477,1446
1598572800,2020-08-28 00:00:00,ADA/USD,0.107363,0.111662,0.106082,0.109315,0.109274,8910691.38679975,974072.2289480147,1489
1598486400,2020-08-27 00:00:00,ADA/USD,0.114703,0.115662,0.102330,0.107363,0.108379,27085725.66390065,2908004.7644533655,3156
1598400000,2020-08-26 00:00:00,ADA/USD,0.112492,0.118328,0.110684,0.114312,0.114372,10946588.06428440,1251326.3748044781,1846
1598313600,2020-08-25 00:00:00,ADA/USD,0.123654,0.123735,0.105175,0.112520,0.113226,25605482.79027672,2881128.9235619367,3778
1598227200,2020-08-24 00:00:00,ADA/USD,0.121039,0.127240,0.120100,0.123714,0.124280,7634952.30762459,944550.4897854686,1336
1598140800,2020-08-23 00:00:00,ADA/USD,0.125207,0.126003,0.119460,0.121538,0.122094,6612432.20411052,803661.7852231844,1149
1598054400,2020-08-22 00:00:00,ADA/USD,0.123109,0.126150,0.118321,0.125193,0.122395,9639759.49077670,1206830.4099288075,1575
1597968000,2020-08-21 00:00:00,ADA/USD,0.134256,0.134317,0.121600,0.123109,0.127391,23936383.24368439,2946784.2047467413,3294
1597881600,2020-08-20 00:00:00,ADA/USD,0.129689,0.134671,0.126065,0.134305,0.130736,15472795.34653350,2078073.7790161818,2019
1597795200,2020-08-19 00:00:00,ADA/USD,0.137214,0.138217,0.126100,0.129678,0.131569,17967915.11055607,2330043.29570669,3120
1597708800,2020-08-18 00:00:00,ADA/USD,0.140401,0.143953,0.134140,0.137218,0.137217,18971031.40077376,2603166.986751374,2670
1597622400,2020-08-17 00:00:00,ADA/USD,0.139000,0.144959,0.135818,0.140726,0.141774,17556671.37433620,2470680.1358248363,2438
1597536000,2020-08-16 00:00:00,ADA/USD,0.138494,0.139670,0.135002,0.138938,0.137540,11599684.91432339,1611637.022626263,1414
1597449600,2020-08-15 00:00:00,ADA/USD,0.138852,0.143000,0.136790,0.138408,0.138942,9715152.12551782,1344654.7753886704,1528
1597363200,2020-08-14 00:00:00,ADA/USD,0.139881,0.141628,0.138051,0.138517,0.139413,11660440.72889370,1615169.2684441686,1759
1597276800,2020-08-13 00:00:00,ADA/USD,0.136645,0.142043,0.132000,0.139768,0.137003,52732442.96737778,7370308.088664458,4860
1597190400,2020-08-12 00:00:00,ADA/USD,0.136958,0.138038,0.123484,0.136620,0.132949,22352089.16858479,3053742.422212054,2984
1597104000,2020-08-11 00:00:00,ADA/USD,0.144100,0.144340,0.132000,0.136846,0.137991,21774552.84367091,2979760.458444989,2803
1597017600,2020-08-10 00:00:00,ADA/USD,0.145276,0.146513,0.142028,0.143873,0.144644,7479287.87552597,1076067.5845155478,1376
1596931200,2020-08-09 00:00:00,ADA/USD,0.147000,0.152760,0.142111,0.145336,0.147393,22096776.62512551,3211457.1275892407,2964
1596844800,2020-08-08 00:00:00,ADA/USD,0.138800,0.147828,0.137700,0.146922,0.144022,12502804.91326705,1836937.1034670214,2102
1596758400,2020-08-07 00:00:00,ADA/USD,0.144700,0.147260,0.135000,0.139049,0.141301,17143509.89982675,2383787.90806101,2961
1596672000,2020-08-06 00:00:00,ADA/USD,0.142529,0.145934,0.140347,0.144700,0.143469,9326375.21385942,1349526.4934454581,1883
1596585600,2020-08-05 00:00:00,ADA/USD,0.143763,0.145464,0.141053,0.142424,0.143418,12155875.30254082,1731288.3840890736,2058
1596499200,2020-08-04 00:00:00,ADA/USD,0.141000,0.148799,0.140000,0.143588,0.143957,22713042.51733347,3261320.348978878,5427
1596412800,2020-08-03 00:00:00,ADA/USD,0.134922,0.148871,0.133200,0.140988,0.139139,13058166.54931368,1841044.7854546371,3534
1596326400,2020-08-02 00:00:00,ADA/USD,0.144795,0.148695,0.131000,0.134879,0.138571,30176593.15824689,4070188.7085911823,6706
1596240000,2020-08-01 00:00:00,ADA/USD,0.140017,0.148484,0.139169,0.145155,0.142993,22951804.42442650,3331569.171227629,5001
1596153600,2020-07-31 00:00:00,ADA/USD,0.141000,0.141600,0.136339,0.140104,0.139663,12281156.60332136,1720639.164751736,2197
1596067200,2020-07-30 00:00:00,ADA/USD,0.140004,0.142982,0.137321,0.141560,0.139672,14987262.89970969,2121596.9360829038,2351
1595980800,2020-07-29 00:00:00,ADA/USD,0.149461,0.150253,0.138872,0.140019,0.143967,23016186.48642956,3222703.415643381,4067
1595894400,2020-07-28 00:00:00,ADA/USD,0.139000,0.151999,0.134601,0.149100,0.142837,31698486.01570275,4726244.264941281,4983
