unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume USD,tradecount
1609027200,2020-12-27 00:00:00,ADA/USD,0.158138,0.160532,0.157778,0.158648,0.159050,502359.14925968,79698.27431174972,188
1609023600,2020-12-26 23:00:00,ADA/USD,0.157296,0.158960,0.157296,0.158137,0.158122,393349.52833262,62203.11436193553,186
1609020000,2020-12-26 22:00:00,ADA/USD,0.160749,0.160749,0.156346,0.157102,0.158616,1143902.11278485,179709.30972272548,302
1609016400,2020-12-26 21:00:00,ADA/USD,0.159024,0.162567,0.158171,0.160863,0.161158,3998084.47185501,643143.8623960125,584
1609012800,2020-12-26 20:00:00,ADA/USD,0.156693,0.159665,0.156598,0.159110,0.158623,1168624.30992403,185939.81395201242,210
1609009200,2020-12-26 19:00:00,ADA/USD,0.157377,0.157573,0.156527,0.156863,0.156996,1147681.57431862,180028.7747923417,163
1609005600,2020-12-26 18:00:00,ADA/USD,0.157808,0.158920,0.157106,0.157215,0.158011,1059690.48411280,166599.23945979387,205
1609002000,2020-12-26 17:00:00,ADA/USD,0.157845,0.158300,0.156225,0.157810,0.157252,1839885.98410116,290352.40715100407,237
1608998400,2020-12-26 16:00:00,ADA/USD,0.154485,0.159624,0.153839,0.157917,0.157358,2163167.88071831,341600.98221939337,422
1608994800,2020-12-26 15:00:00,ADA/USD,0.154338,0.154907,0.153538,0.154433,0.154154,6295454.91354042,972225.9886627876,409
1608991200,2020-12-26 14:00:00,ADA/USD,0.153539,0.155951,0.152602,0.154116,0.154356,1052733.98262774,162243.15046665678,240
1608987600,2020-12-26 13:00:00,ADA/USD,0.153504,0.154354,0.153208,0.153445,0.153529,216882.56085434,33279.5445502942,79
1608984000,2020-12-26 12:00:00,ADA/USD,0.153576,0.154347,0.151741,0.153612,0.153410,1220802.08481677,187529.84985287365,131
1608980400,2020-12-26 11:00:00,ADA/USD,0.150664,0.153955,0.149002,0.153955,0.150512,830256.69906294,127822.17010423493,209
1608976800,2020-12-26 10:00:00,ADA/USD,0.153735,0.154149,0.150323,0.150386,0.151696,330932.63335894,49767.635000317554,148
