unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1596153600,2020-07-31 00:00:00,LTC/USD,56.75,59.22,55.82,58.29,57.80,37220.53272160,2169584.852342064,2645
1596067200,2020-07-30 00:00:00,LTC/USD,55.21,58.64,53.89,56.61,56.26,43588.64222157,2467553.0361630777,3341
1595980800,2020-07-29 00:00:00,LTC/USD,55.88,56.95,54.88,55.26,55.81,59836.35548360,3306557.004023736,2994
1595894400,2020-07-28 00:00:00,LTC/USD,53.41,57.91,51.77,55.85,55.20,83590.33884952,4668520.424745693,5638
1595808000,2020-07-27 00:00:00,LTC/USD,48.14,55.95,46.96,53.32,51.46,92183.49309973,4915223.852077603,5586
1595721600,2020-07-26 00:00:00,LTC/USD,49.20,50.71,47.72,48.13,48.84,42786.91241160,2059334.094370308,2754
1595635200,2020-07-25 00:00:00,LTC/USD,44.14,49.58,44.14,49.06,47.80,42404.80292889,2080379.6316913434,3081
1595548800,2020-07-24 00:00:00,LTC/USD,44.98,45.01,44.01,44.20,44.46,14264.62369757,630496.3674325941,796
1595462400,2020-07-23 00:00:00,LTC/USD,45.06,45.70,44.55,45.07,45.13,21546.09346148,971082.4323089035,1470
1595376000,2020-07-22 00:00:00,LTC/USD,43.83,45.14,43.23,45.06,44.03,13419.96105847,604703.4452946583,1121
1595289600,2020-07-21 00:00:00,LTC/USD,42.01,44.13,42.00,43.80,43.49,13756.35060498,602528.156498124,1123
1595203200,2020-07-20 00:00:00,LTC/USD,42.70,42.80,41.30,42.01,42.20,11617.12116693,488035.26022272924,708
1595116800,2020-07-19 00:00:00,LTC/USD,42.46,42.83,41.97,42.66,42.41,7005.20969956,298842.2457832296,493
1595030400,2020-07-18 00:00:00,LTC/USD,41.88,42.86,41.80,42.50,42.45,7464.49138604,317240.8839067,491
1594944000,2020-07-17 00:00:00,LTC/USD,42.08,42.45,41.71,41.92,41.96,11092.07302064,464979.70102522883,732
1594857600,2020-07-16 00:00:00,LTC/USD,43.29,43.40,40.89,42.06,41.90,25055.97569676,1053854.3378057256,1676
1594771200,2020-07-15 00:00:00,LTC/USD,43.90,44.05,42.89,43.32,43.37,15190.57050301,658055.5141903932,931
1594684800,2020-07-14 00:00:00,LTC/USD,43.89,44.05,42.90,43.92,43.62,16140.47887892,708889.8323621664,1494
1594598400,2020-07-13 00:00:00,LTC/USD,44.78,45.58,42.44,43.98,44.46,33106.00578307,1456002.1343394185,1854
1594512000,2020-07-12 00:00:00,LTC/USD,44.69,44.69,44.69,44.69,0.00,0.00000000,0.0,0
1594425600,2020-07-11 00:00:00,LTC/USD,44.29,44.75,43.91,44.69,44.34,6282.60884804,280769.7894189076,487
1594339200,2020-07-10 00:00:00,LTC/USD,44.36,44.58,43.50,44.29,44.12,10463.87204176,463444.89272955037,813
1594252800,2020-07-09 00:00:00,LTC/USD,45.36,45.85,43.57,44.33,44.73,23292.34175477,1032549.509988954,1556
1594166400,2020-07-08 00:00:00,LTC/USD,43.41,45.58,43.11,45.34,44.86,21957.70025767,995562.1296827579,1745
1594080000,2020-07-07 00:00:00,LTC/USD,44.10,44.44,43.09,43.31,43.61,10079.61563833,436548.1532960723,752
1593993600,2020-07-06 00:00:00,LTC/USD,41.61,44.16,41.59,44.12,43.03,14078.85754440,621159.194858928,1212
1593907200,2020-07-05 00:00:00,LTC/USD,42.10,42.16,40.82,41.67,41.42,7704.25262363,321036.2068266621,486
1593820800,2020-07-04 00:00:00,LTC/USD,41.12,42.21,41.12,42.11,41.79,8108.69551588,341457.1681737068,508
1593734400,2020-07-03 00:00:00,LTC/USD,41.07,41.64,40.93,41.19,41.33,7342.23177240,302426.526705156,538
1593648000,2020-07-02 00:00:00,LTC/USD,41.78,41.93,40.32,41.03,41.05,10690.23859672,438620.4896234216,766
1593561600,2020-07-01 00:00:00,LTC/USD,41.18,41.99,40.99,41.77,41.58,9527.83603984,397977.71138411685,715
1593475200,2020-06-30 00:00:00,LTC/USD,41.84,42.00,40.77,41.25,41.27,11825.67622594,487809.144320025,637
1593388800,2020-06-29 00:00:00,LTC/USD,41.35,42.21,40.60,41.88,41.52,13972.60241180,585172.589006184,920
1593302400,2020-06-28 00:00:00,LTC/USD,41.03,41.98,40.45,41.36,41.36,13211.59703014,546431.6531665904,900
1593216000,2020-06-27 00:00:00,LTC/USD,43.04,43.04,39.16,41.07,41.17,16546.55378582,679566.9639836274,1094
1593129600,2020-06-26 00:00:00,LTC/USD,42.34,43.50,41.33,43.06,42.66,12627.46602129,543738.6868767474,946
1593043200,2020-06-25 00:00:00,LTC/USD,42.59,42.93,41.63,42.33,42.48,7399.59451843,313224.8359651419,635
1592956800,2020-06-24 00:00:00,LTC/USD,44.14,44.59,42.09,42.56,43.16,11277.30903237,479962.2724176672,1301
1592870400,2020-06-23 00:00:00,LTC/USD,44.35,44.49,43.89,44.12,44.14,9030.26499019,398415.2913671828,539
1592784000,2020-06-22 00:00:00,LTC/USD,42.99,44.62,42.97,44.37,43.95,12130.89063390,538247.617426143,707
1592697600,2020-06-21 00:00:00,LTC/USD,43.54,43.81,42.89,42.97,43.28,5130.87350038,220473.6343113286,320
1592611200,2020-06-20 00:00:00,LTC/USD,42.78,43.77,42.24,43.57,43.14,12610.43798650,549436.783071805,603
1592524800,2020-06-19 00:00:00,LTC/USD,43.39,43.62,42.60,42.72,43.18,10897.18810408,465527.8758062976,783
