unix,date,symbol,open,high,low,close,vwap,Volume DOT,Volume USD,tradecount
1608847200,2020-12-24 22:00:00,DOT/USD,5.1416,5.1800,5.1319,5.1800,5.1672,70143.07299841,363341.1181317638,143
1608843600,2020-12-24 21:00:00,DOT/USD,5.1045,5.1500,5.1003,5.1500,5.1318,6953.07111079,35808.3162205685,51
1608840000,2020-12-24 20:00:00,DOT/USD,5.1027,5.1178,5.0700,5.1178,5.0925,2464.04140146,12610.471084391987,43
1608836400,2020-12-24 19:00:00,DOT/USD,5.1200,5.1400,5.0912,5.1034,5.1143,3520.86368917,17968.375751310177,29
1608832800,2020-12-24 18:00:00,DOT/USD,5.1344,5.1451,5.0911,5.1071,5.1126,19359.29543707,98869.8577266602,89
1608829200,2020-12-24 17:00:00,DOT/USD,5.1233,5.1600,5.0708,5.1374,5.1242,17456.59399391,89681.50598431323,126
1608825600,2020-12-24 16:00:00,DOT/USD,5.0791,5.1453,5.0287,5.1255,5.0838,8860.62821795,45415.14993110272,74
1608822000,2020-12-24 15:00:00,DOT/USD,5.0786,5.0924,5.0154,5.0646,5.0548,18546.54201172,93930.81667255712,125
1608818400,2020-12-24 14:00:00,DOT/USD,5.1218,5.1255,5.0284,5.0642,5.0757,8312.51473286,42096.23711014961,108
1608814800,2020-12-24 13:00:00,DOT/USD,4.9330,5.1500,4.9330,5.1175,5.0959,71927.69077435,368089.9575377361,391
1608811200,2020-12-24 12:00:00,DOT/USD,4.8374,4.9408,4.7854,4.9408,4.8515,33302.82315864,164542.58866220852,139
1608807600,2020-12-24 11:00:00,DOT/USD,4.7974,4.8277,4.7780,4.8078,4.8038,2458.26720782,11818.857081756996,45
